total_samples,total_positives,total_negatives,true_positives,false_positives,true_negatives,false_negatives,pd,far,tnr,precision,recall,f1_score,multiple_faces_detected,avg_confidence,confidence_scores_positive,confidence_scores_negative,avg_confidence_positive,avg_confidence_negative,timestamp
10,5,5,5,1,4,0,1.0,0.2,0.8,0.8333333333333334,1.0,0.9090909090909091,1,0.6821517491101354,"[0.7017795364977343, 0.7288689162694318, 0.7386448699009589, 0.7387563145456241, 0.6988627929499638]","[0.643721194997377, 0.6435535906790635, 0.6222812576345703, 0.6412305244294945, 0.6638184931971362]",0.7213824860327426,0.6429210121875283,2025-05-25 00:30:21
10,5,5,5,0,5,0,1.0,0.0,1.0,1.0,1.0,1.0,1,0.6002650477046714,"[0.6159715438834235, 0.6588972609219451, 0.6454009581792516, 0.6463646795839338, 0.6118682608761673]","[0.5648906035604275, 0.5663391186566195, 0.5473909822727732, 0.5632197752925893, 0.5823072938195828]",0.6357005406889442,0.5648295547203984,2025-05-25 00:44:02
